FY 2025 IPPS/LTCH PPS Final Rule: Hospital Readmissions Reduction Program Supplemental Data            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital CNN,  Payment adjustment factor ,Payment reduction percentage,Dual proportion,Peer group assignment,Neutrality modifier ,Number of eligible discharges for AMI,ERR for AMI,Peer group median ERR for AMI,Penalty indicator for AMI,DRG payment ratio for AMI,Number of eligible discharges for COPD,ERR for COPD,Peer group median ERR for COPD,Penalty indicator for COPD,DRG payment ratio for COPD,Number of eligible discharges for HF,ERR for HF,Peer group median ERR for HF,Penalty indicator for HF,DRG payment ratio for HF,Number of eligible discharges for pneumonia,ERR for pneumonia,Peer group median ERR for pneumonia,Penalty indicator for pneumonia,DRG payment ratio for pneumonia,Number of eligible discharges for CABG,ERR for CABG,Peer group median ERR for CABG,Penalty indicator for CABG,DRG payment ratio for CABG,Number of eligible discharges for THA/TKA,ERR for THA/TKA,Peer group median ERR for THA/TKA,Penalty indicator for THA/TKA,DRG payment ratio for THA/TKA,
010001,0.9975,0.25%,0.1731,2,0.9652,296,0.9483,0.9956,N,0.0267,130,0.9330,0.9942,N,0.0063,681,1.0597,0.9875,Y,0.0363,490,0.9715,0.9895,N,0.0306,151,0.9509,0.9966,N,0.0302,34,0.9654,0.9888,N,0.0024,
010005,1.0000,0.00%,0.1441,1,0.9652,22,0.9972,0.9957,N,0.0046,144,0.8696,0.9940,N,0.0206,176,0.9935,0.9947,N,0.0267,305,0.8495,0.9944,N,0.0479,,,0.9982,N,,144,0.8497,0.9913,N,0.0312,
010006,0.9967,0.33%,0.1219,1,0.9652,315,0.9704,0.9957,N,0.0438,154,0.9463,0.9940,N,0.0104,508,0.9666,0.9947,N,0.0364,621,1.0112,0.9944,Y,0.0536,91,1.0846,0.9982,Y,0.0289,90,0.9762,0.9913,N,0.0087,
010007,0.9947,0.53%,0.2138,3,0.9652,9,1.0139,0.9958,N,0.0046,41,1.0277,0.9924,Y,0.0228,35,1.0674,0.9955,Y,0.0207,85,1.0488,0.9912,Y,0.0556,,,0.9943,N,,33,0.9695,0.9963,N,0.0310,
010008,1.0000,0.00%,0.3127,4,0.9652,6,1.0226,0.9972,N,0.0146,18,0.9859,0.9969,N,0.0359,15,1.0073,1.0032,N,0.0363,21,1.0000,1.0002,N,0.0464,,,1.0061,N,,,,0.9901,N,,
010011,0.9929,0.71%,0.1394,1,0.9652,148,0.9675,0.9957,N,0.0279,58,1.0120,0.9940,Y,0.0055,295,1.0439,0.9947,Y,0.0314,344,1.0589,0.9944,Y,0.0419,70,1.1146,0.9982,Y,0.0254,32,0.9541,0.9913,N,0.0041,
010012,0.9973,0.27%,0.1567,2,0.9652,57,1.0125,0.9956,Y,0.0249,28,1.0044,0.9942,Y,0.0096,84,1.0505,0.9875,Y,0.0365,160,0.9685,0.9895,N,0.0778,,,0.9966,N,,63,0.9055,0.9888,N,0.0403,
010016,0.9939,0.61%,0.1047,1,0.9652,77,1.0186,0.9957,Y,0.0211,48,0.9794,0.9940,N,0.0061,229,1.0005,0.9947,Y,0.0341,214,1.0434,0.9944,Y,0.0382,37,1.0792,0.9982,Y,0.0210,71,1.1477,0.9913,Y,0.0129,
010019,0.9976,0.24%,0.1205,1,0.9652,15,1.0045,0.9957,N,0.0021,162,1.0188,0.9940,Y,0.0240,254,0.9294,0.9947,N,0.0388,236,1.0441,0.9944,Y,0.0385,,,0.9982,N,,73,0.9039,0.9913,N,0.0172,
010021,0.9942,0.58%,0.2279,3,0.9652,2,0.9930,0.9958,N,0.0023,31,0.9912,0.9924,N,0.0385,34,1.0522,0.9955,Y,0.0314,65,1.0580,0.9912,Y,0.0638,,,0.9943,N,,,,0.9963,N,,
010022,1.0000,0.00%,0.2047,3,0.9652,,,0.9958,N,,12,0.9863,0.9924,N,0.0248,11,1.0038,0.9955,N,0.0242,27,0.9728,0.9912,N,0.0539,,,0.9943,N,,,,0.9963,N,,
010023,0.9947,0.53%,0.1721,2,0.9652,194,1.0485,0.9956,Y,0.0264,70,0.9825,0.9942,N,0.0056,305,1.0380,0.9875,Y,0.0235,146,1.0023,0.9895,Y,0.0135,51,1.1302,0.9966,Y,0.0146,95,1.0708,0.9888,Y,0.0092,
010024,0.9983,0.17%,0.1778,2,0.9652,146,0.9784,0.9956,N,0.0266,79,0.9693,0.9942,N,0.0068,325,1.0036,0.9875,Y,0.0331,233,1.0422,0.9895,Y,0.0241,91,0.9257,0.9966,N,0.0326,9,1.0466,0.9888,N,0.0011,
